transform_id,period,ruler,dimension,change_description,fact_or_interpretation,confidence,source_ids,source_id_list
T01,1453 (same year),Mehmed II,Religious institutions,"Hagia Sophia converted into the city's premier imperial mosque immediately, retaining its name (Ayasofya).",Fact,High,S05,['S05']
T02,1453-1454,Mehmed II,Administrative / religious,"George Scholarios (Gennadios II) appointed Orthodox patriarch on 6 January 1454, continuing the patriarchate under Ottoman authority and, per Oz, encouraging former Christian residents to return.",Fact,High,S04,['S04']
T03,1453-1460,Mehmed II,Demographic,"Forced and incentivized resettlement (surgun) of Muslim, Christian, and Jewish populations from across the empire (Rumelian Jews, Bursa residents moved to Eyup, Serbian/Hungarian/Bulgarian settlers, Morea population in 1459-60); an initial 1453 wave of Anatolian settlers reportedly returned home by autumn, showing the policy needed repeated iterations.",Fact (policy and specific waves are documented); the demographic 'success' framing is interpretation,High,S04;S18,"['S04', 'S18']"
T04,1455,Mehmed II,Administrative,"First post-conquest survey (partial) of Istanbul and Galata completed, recording households by quarter.",Fact,High,S04;S07,"['S04', 'S07']"
T05,1457,Mehmed II,Religious institutions,"Waqf (religious endowment) deed for Hagia Sophia drawn up, financing its operation as a mosque complex.",Fact,High,S04,['S04']
T06,1458,Mehmed II,Infrastructure / military,"Yedikule Fortress built behind the Byzantine Golden Gate, repurposing part of the old defensive circuit as an Ottoman citadel/treasury.",Fact,Medium,S10,['S10']
T07,1459,Mehmed II,Political,"Strategic relocation of the Ottoman capital from Edirne to Istanbul (per Necipoglu, citing Kritoboulos); popular narratives sometimes date this to 1453 itself.",Fact (date is contested between scholarly and popular framings),High,S05,['S05']
T08,1459-1478,Mehmed II,Infrastructure,"Topkapi Palace (the 'New Palace') constructed on the old acropolis; foundation in 1459, completion inscription dated 1478 on the Imperial Gate.",Fact,High,S05,['S05']
T09,1459-1470,Mehmed II,Infrastructure / cultural,"Fatih Mosque complex built on the site of the Byzantine Church of the Holy Apostles; construction initiated 1459, foundation inscription dated 1463-70; complex included eight madrasas.",Fact,High,S05,['S05']
T10,1467,Mehmed II,Demographic,"Major plague outbreak reported (over 600 dead); Oz notes the city nonetheless saw large population growth over the following decade, implying continued in-migration outweighed plague losses.",Fact (event) / Interpretation (net growth despite plague),Medium,S04,['S04']
T11,1472,Mehmed II,Infrastructure,Tiled Kiosk (Cinili Kosk) completed as part of the palace building programme.,Fact,High,S05,['S05']
T12,1477,Mehmed II,Demographic,"Household census of the Istanbul side records 16,324 households, the first solid quantitative population anchor for the post-conquest city (see population_1477_households.csv).",Fact,High,S04,['S04']
T13,1477-1478,Mehmed II,Economic,Fatih complex endowments furnished with shops and other commercial establishments; a gold coin minted from 1477-78.,Fact,High,S05,['S05']
T14,1479,Mehmed II,Diplomatic / economic,"Ottoman-Venetian peace treaty concluded, restoring commercial ties with a major former opponent; the Venetian painter Gentile Bellini resident at the Ottoman court 1479-81.",Fact,High,S05,['S05']
T15,1481,Mehmed II (reign ends),Political,Death of Mehmed II (3 May 1481) closes the founding reign of the reconstructed Ottoman capital; the building and resettlement programme he began continued under his successors.,Fact,High,S05,['S05']
T16,Cumulative 1453-1481 (interpretation),Mehmed II,Urban development (synthesis),"Across roughly three decades the city moved from a depopulated, war-damaged Byzantine capital toward a functioning, endowed, multi-confessional Ottoman capital with a new palace, mosque complex, and administrative registers - though full recovery to the city's peak medieval population took considerably longer (see population_context.csv for later-period estimates).",Interpretation (synthesis of the fact rows above),Medium,S04;S05,"['S04', 'S05']"
