factor_id,factor,category,evidence,measurable_indicator,historical_interpretation,confidence,source_ids
SF01,Gunpowder siege artillery (Urban's cannon and the wider Ottoman train),Military,"The Oxford Dictionary of Byzantium records that within about a fortnight of 6 April, large cannons cast by 'Urbinus' (Orban) destroyed the outer wall in the Lycus valley, forcing the defenders to build a stockade.","Days from opening bombardment to first collapse of the outer wall in the Lycus valley (approx. 13 days, computed from event dates C13-C16)","Widely treated as the single technology that changed siege warfare against Constantinople's walls, though the walls had absorbed centuries of earlier sieges without gunpowder artillery.",High,S02
SF02,Naval blockade and numerical superiority at sea,Military,Sphrantzes records 400 vessels on the sea side; modern popular syntheses describe a fleet in the range of about 100-146 ships against a Byzantine-Italian force of around 26 ships.,Ratio of reported fleet sizes (largest reported Ottoman figure vs. reported Byzantine/Italian figure),"Even allowing for exaggeration in the largest figures, near-total naval superiority let the Ottomans blockade the sea walls and eventually force the Golden Horn.",Medium,S03;S12;S13
SF03,Manpower disparity,Military,"Modern historians prefer roughly 60,000-80,000 Ottoman troops against Sphrantzes's reported defending force of under 5,000 fully committed men (with popular sources citing figures from about 7,000 to 8,000 when local militia and civilians are included).",Ratio of low-end modern troop estimates (Ottoman to Byzantine),"Whatever the precise figures, all reviewed sources agree the defenders could not adequately man roughly 19 km (or, on some counts, considerably more) of walls; this manpower gap is treated as a structural, not merely tactical, weakness.",Medium,S12;S02;S13
SF04,Loss of the Golden Horn's natural barrier (overland transfer of ships),Military,"The Oxford Dictionary of Byzantium dates the Ottoman fleet's penetration of the Golden Horn to 22 April 1453, achieved by hauling roughly 70 ships overland around the Genoese-controlled Galata shore.","Number of additional km of wall the defenders had to garrison after 22 April (the Golden Horn sea-wall sector, previously considered comparatively safe)",This maneuver is treated in the literature as one of the campaign's most consequential single actions: it opened a second naval front and stretched an already thin garrison further.,High,S02;S12
SF05,Length and layout of the Theodosian land walls relative to available defenders,Geography,"Sources describe roughly 19 km of walls (World History Encyclopedia figure, land plus sea combined) against a defending garrison in the low thousands.","Approx. total metres of fortification per defender (order-of-magnitude only, given uncertainty in both the wall-length and garrison figures)",The walls that had protected the city for a millennium became a liability once the defending force could not be concentrated at any single threatened point without weakening others.,Medium,S12;S02
SF06,The Lycus valley as a structural weak point,Geography,"Multiple sources identify the Mesoteichion / Lycus valley sector - where the walls dip to cross the stream - as the point of lowest elevation and heaviest bombardment, and as the location of the decisive 29 May breach near the Gate of St. Romanus.","N/A (qualitative sector identification; corroborated by the concentration of dated events C13, C16, C22, C23 at this location)","Geography and hydrology, not just wall design, help explain why the Ottomans concentrated their guns and final assault at this specific sector rather than elsewhere along the circuit.",Medium,S02;S16
SF07,"Absence of a large-scale, timely Western relief force",Diplomatic,"World History Encyclopedia records only two Venetian ships and 800 men in April 1453, a promised but unrealized Genoese ship, and a later Papal promise of five ships that arrived too late to affect the siege.",N/A (qualitative; no reliable troop-equivalent conversion available for naval promises vs. delivered aid),The Union of the Churches (1452) failed to translate into decisive military support in time; the defenders fought largely without the coalition support that had occasionally arrived in earlier centuries.,Medium,S12;S30
SF08,Internal Ottoman debate about continuing the siege,Political,"The Oxford Dictionary of Byzantium records that on 25 May the grand vizier Halil Pasha advised retreat, only four days before the city fell.","N/A (qualitative; single dated event, C21)",Shows the campaign's outcome was not a foregone conclusion even within the Ottoman high command; historical narratives should avoid treating 1453 as an inevitable result of overwhelming force alone.,Medium,S02
SF09,Byzantine internal political and religious division,Political,Standard scholarly narratives (not independently verified against a primary source in this project) describe factional tension around the 1452 Union of the Churches and around wartime leadership.,N/A (this project could not source a measurable indicator),"A long-standing historiographical theme, but this project flags it as resting on synthesis works (Runciman, Nicol) that were not directly consulted here, so treat the specifics with caution pending direct verification.",Low,S30;S28
SF10,Supply and logistics of a large besieging army,Logistics,"No primary-source logistics figures (food consumption, supply-train size) were found in the sources reviewed for this project.",N/A (no data found),"Siege logistics are frequently cited in general Ottoman-military historiography as a real constraint on how long very large armies could remain in the field, but this project has no sourced figures to attach to Constantinople 1453 specifically.",Low,S28
SF11,Time pressure on the Ottoman side (cost of a prolonged siege),Logistics,"The 25 May vizier's-council debate (SF08) is the clearest dated evidence of pressure to end the siege, but no independent quantitative source (cost, desertion, disease data) was found.",N/A (no data found),"Time pressure is a plausible contributing factor given the council debate, but should be presented as inference from that single episode rather than as an independently measured variable.",Low,S02
