claim_id,topic,claim_value,unit,attributed_to,source_ids,tier,note
CL01,Ottoman land army size (contemporary chronicle figure),200000,men,George Sphrantzes (Chronicon Minus),S03,"Tier 1 (primary, but rhetorical figure)","Sphrantzes gives 200,000 men on the land side plus 400 vessels; near-eyewitness but the round number is treated by modern historians as inflated / rhetorical rather than a precise count."
CL02,Ottoman land army size (modern historians' range - low end synthesis),60000,men,World History Encyclopedia summarizing modern historians,S12,Tier 3 (popular synthesis of scholarly consensus),"Stated as the low end of a 'more realistic' 60,000-80,000 modern range, contrasted explicitly with the Sphrantzes figure."
CL03,Ottoman land army size (modern historians' range - high end synthesis),80000,men,World History Encyclopedia summarizing modern historians,S12,Tier 3,"High end of the same 60,000-80,000 modern range."
CL04,Ottoman land army size,120000,men,EBSCO Research Starters (body text),S13,Tier 3,"Body text of the EBSCO entry gives approximately 120,000; the same page's infobox gives 160,000 for the same campaign - an internal inconsistency documented, not resolved, here."
CL05,"Ottoman land army size (infobox figure, same article as CL04)",160000,men,EBSCO Research Starters (infobox),S13,Tier 3,Infobox figure conflicts with the body text of the same article (see CL04).
CL06,Ottoman land army size,90000,men,War History Online,S14,Tier 3,"Popular narrative history; composition given as about 70,000 regulars plus 20,000 irregulars (90,000 total), a figure between the World History Encyclopedia range and the EBSCO figures."
CL07,"Ottoman land army size (Ottoman archival data, unverified attribution)",50000-80000,men,"Saint Andrew Greek Orthodox Church blog, attributing to unspecified 'recent studies and Ottoman archival data'",S26,Tier 3 (attribution not independently traceable),Cited only to show the range is echoed outside academic publishing; the specific archival attribution could not be verified in this project.
CL08,"Byzantine/allied defenders (garrison, near-eyewitness census)",4973,men,"George Sphrantzes (4,773 Greeks + about 200 foreigners, as translated on De Re Militari)",S03,"Tier 1 (primary, near-eyewitness)","This is the De Re Militari translation's wording. A different wording of the same tradition (4,983 Greeks + just under 2,000 foreigners) circulates in later and secondary retellings; see CL09. Sphrantzes says the emperor asked him to keep the true number secret."
CL09,Byzantine/allied defenders (variant wording of the Sphrantzes tradition),6983,men,"Popular retellings (e.g. a devotional blog quoting 'the Chronicle') citing 4,983 Greeks and just under 2,000 foreigners",S43,"Tier 3 (secondary paraphrase; also associated with the later Pseudo-Sphrantzes / Chronicon Maius tradition, which BMCR (S42) identifies as a 16th-century text once misattributed to Sphrantzes)","Kept separate from CL08 because the underlying figures differ (4,983 vs 4,773 Greeks; ~2,000 vs ~200 foreigners) and because of the Pseudo-Sphrantzes attribution risk documented in S42."
CL10,Byzantine/allied defenders (rounded modern figure),5000,men,"World History Encyclopedia ('fewer than 5,000')",S12,Tier 3,Rounds the Sphrantzes-tradition figure down as an upper bound ('fewer than').
