source_id,title,author,publication,year,source_type,tier,role,url,used_in,notes,url_status
S01,Fall of Constantinople,Encyclopaedia Britannica (editorial),Encyclopaedia Britannica online,2026,Reference,Tier 2,Used,https://www.britannica.com/event/Fall-of-Constantinople-1453,campaign_timeline;source_claims,Gives 29 May 1453 as the date of conquest and counts the siege as 55 days; other sources count 53-54 days. Year = page revision date.,Recorded from search results; re-check before citing
S02,"Constantinople, Siege and Fall of",Steven W. Reinert,"The Oxford Dictionary of Byzantium (A. Kazhdan, ed.). Oxford University Press",1991,Scholarly reference,Tier 1,Used,https://libguides.ku.edu.tr/byzantineconstantinople/fallofconstantinople-1453,campaign_timeline;source_claims;strategic_factors;fortifications;post_conquest_transformation,"Entry as reproduced on a Koc University library guide. Authoritative sequence of events (Lycus valley guns, Golden Horn transfer, final assault times). Force figures are hedged ('allegedly', 'fewer than').",Recorded from search results; re-check before citing
S03,"The Siege of Constantinople (1453), according to George Sphrantzes",George Sphrantzes (English translation; translator not named on host page),"Chronicon Minus, siege excerpt (ch. 35), hosted by De Re Militari (Society for Medieval Military History)",N/A,Primary source (translation),Tier 1,Used,https://www.deremilitari.org/RESOURCES/SOURCES/constantinople2.htm,source_claims;campaign_timeline;fortifications;strategic_factors,"Near-eyewitness Byzantine courtier. Written after the events. Gives 4773 Greeks plus about 200 foreigners (=4973), 200000 Ottoman men, 400 vessels and an 18-mile circuit; dates the siege start as 4 April 1453 and the sultan's occupation of the straits as 26 March 1452 (other sources: 6 April and 15 April). The Ottoman figures are round and rhetorical. A different wording (4983 Greeks and just under 2000 foreigners) circulates in popular works and matches the later Chronicon Maius tradition - see S42/S43.",Re-checked (2026-09-21)
S04,Istanbul Nufusu: Fetihten XVIII. Yuzyil Sonlarina Kadar (The Population of Istanbul from the Conquest to the End of the 18th Century),Mehmet Oz,"Buyuk Istanbul Tarihi, Demography volume (istanbultarihi.ist)",N/A,Scholarly (encyclopedic chapter),Tier 1,Used,https://istanbultarihi.ist/461-the-population-of-istanbul-from-the-conquest-to-the-end-of-the-18th-century,population_estimates;population_1477;post_conquest_transformation;historical_events;campaign_timeline;source_claims,Compares estimates by Schneider Barkan Ayverdi Mantran Yerasimos Toprak Mols and Inalcik and reports the 1455 and 1477 registers. Publication year not shown in the retrieved text. Turkish PDF with the tables: https://istanbultarihi.ist/assets/uploads/pdf/istanbul-nufusu-fetihten-xviii-yuzyil-sonlarina-kadar-94.pdf,Re-checked (2026-09-21)
S05,From Byzantine Constantinople to Ottoman Kostantiniyye: Creation of a Cosmopolitan Capital and Visual Culture under Sultan Mehmed II,Gulru Necipoglu,From Byzantion to Istanbul: 8000 Years of a Capital (Sabanci University Sakip Sabanci Museum) pp. 262-277,2010,Scholarly (catalogue essay),Tier 1,Used,https://scholar.harvard.edu/files/gnecipoglu/files/from_byzantion_to_istanbul.pdf,post_conquest_transformation;campaign_timeline;historical_events,Dates the strategic move of the capital to 1459 (citing Kritoboulos) rather than 1453; Topkapi Palace begun 1459 and completed 1478; Fatih complex inscription 1463-70; Hagia Sophia converted in 1453.,Recorded from search results; re-check before citing
S06,The Policy of Mehmed II toward the Greek Population of Istanbul and the Byzantine Buildings of the City,Halil Inalcik,Dumbarton Oaks Papers 23/24 pp. 229-249,1970,Scholarly (journal),Tier 1,Further reading,N/A,,Cited within S04 for Mehmed II's resettlement policy. Not consulted directly for this project.,N/A (print or no link)
S07,The Survey of Istanbul 1455: The Text English Translation Analysis of Text Documents,Halil Inalcik,Turkiye Is Bankasi Kultur Yayinlari,2012,Scholarly (edition),Tier 1,Further reading,N/A,,Cited within S04 for the 1455 register. Not consulted directly for this project.,N/A (print or no link)
S08,Byzantine Constantinople: The Walls of the City and Adjoining Historical Sites,Alexander Van Millingen,John Murray (London),1899,Scholarly (classic survey),Tier 1,Further reading,N/A,,Classic survey of the walls; cited by S09. Not consulted directly - wall dimensions in this project come from secondary summaries and are stored as ranges.,N/A (print or no link)
S09,Article on the structure of the Theodosian Walls (title and first name not captured),Malec (first name not captured),Zeszyty Naukowe Wyzszej Szkoly Technicznej w Katowicach no. 16,2023,Scholarly (journal),Tier 1,Used,https://yadda.icm.edu.pl/baztech/element/bwmeta1.element.baztech-ffc6bc21-b6c0-4c24-a53d-11e09317f070/c/malec_a_brief_history_16_2023.pdf,fortifications,Gives heights thicknesses tower counts and moat ranges. The PDF is behind a bot check so values were read from a search excerpt only; treat as Medium confidence.,Recorded from search results; re-check before citing
S10,The Theodosian Walls,The Byzantine Legacy (site author not named),thebyzantinelegacy.com,N/A,Secondary (educational site),Tier 3,Used,https://www.thebyzantinelegacy.com/theodosian-walls,fortifications;strategic_factors;campaign_timeline,Detailed dimension ranges (96 inner towers 92 outer towers moat about 20 m wide) and the 1458 Yedikule date. Quality uneven; used with corroboration.,Recorded from search results; re-check before citing
S11,Historic Areas of Istanbul (World Heritage List ref. 356),UNESCO World Heritage Centre,UNESCO,1985,Institutional (heritage authority),Tier 2,Used,https://whc.unesco.org/en/list/356,fortifications;historical_events;strategic_factors,Inscribed 1985; includes the Istanbul Land Walls Component Area (506 ha in 1985; 561 ha after the 2017 boundary modification). Describes the strategic location between the Balkans and Anatolia and between the Black Sea and Mediterranean.,Recorded from search results; re-check before citing
S12,1453: The Fall of Constantinople,World History Encyclopedia (author not captured),worldhistory.org,N/A,Secondary (educational nonprofit),Tier 3,Used,https://www.worldhistory.org/article/1180/1453-the-fall-of-constantinople/,source_claims;campaign_timeline;strategic_factors,"Cross-check source: fewer than 5000 defenders (attributed to Sphrantzes), 26 ships, walls some 19 km, 2 Venetian ships and 800 men in April 1453, modern estimate for the Ottoman army 60-80000, largest gun 9 m long with a 500 kg ball and 7 shots a day. Popular-educational tier.",Re-checked (2026-09-21)
S13,Siege of Constantinople (1453),EBSCO Research Starters,EBSCO,N/A,Secondary (database summary),Tier 3,Used,https://www.ebsco.com/research-starters/history/siege-constantinople-1453,source_claims;campaign_timeline;fortifications,Internally inconsistent on the same page: text says about 120000 Ottoman soldiers and the infobox says 160000; also 8000 Byzantines in the infobox against about 7000 in the text. Kept in the claims ledger and flagged.,Re-checked (2026-09-21)
S14,Fall of Constantinople 1453,War History Online,warhistory.org,N/A,Popular,Tier 3,Used,https://warhistory.org/ja/@msw/article/fall-of-constantinople-1453,source_claims;campaign_timeline;fortifications,Day-level chronology and force composition (70000 regulars plus 20000 irregulars). Popular tier - corroboration only.,Recorded from search results; re-check before citing
S15,"Ottoman Siege and Conquest of Constantinople, 6 April - 29 May 1453",N/A (not confirmed),islamicchronicles.com,N/A,Popular,Tier 3,Used,https://islamicchronicles.com/islamic-history/ottoman-empire/siege-and-conquest-of-constantinople-6-april-29-may-1453/,campaign_timeline;source_claims;fortifications,Source of several day-level dates (11 April boom attack; 22 April overland transfer; 28 April fireship attack). Lowest evidentiary tier in the register.,Recorded from search results; re-check before citing
S16,Theodosian Walls gate entries (First Fourth and Silivrikapi gates),Turkish Archaeological News,turkisharchaeonews.net,2025,Specialist news / reference,Tier 3,Used,https://turkisharchaeonews.net/object/fourth-military-gate-theodosian-walls-constantinople,fortifications;locations;historical_events,Source of published GPS values for three gates and of notes on the Mesoteichion as the weakest wall sector and on the 1439 repair inscription. Other entries: https://turkisharchaeonews.net/node/1235 and https://turkisharchaeonews.net/node/1242,Recorded from search results; re-check before citing
S17,Rumelihisari (Rumeli Fortress),Limen Project,limenproject.net,N/A,Heritage project,Tier 2,Used,https://www.limenproject.net/?p=1249,campaign_timeline;fortifications;historical_events;locations,Construction 15 April to 31 August 1452 (4 months 16 days); strait width 660 m; Anadolu Hisari built 1393-94 by Bayezid I.,Recorded from search results; re-check before citing
S18,Istanbul (Encyclopaedia Judaica),Encyclopaedia Judaica (via Jewish Virtual Library),Jewish Virtual Library,N/A,Reference,Tier 2,Used,https://www.jewishvirtuallibrary.org/istanbl-turkey,post_conquest_transformation;population_1477;historical_events,Describes Mehmed II's transfer of Muslim Christian and Jewish populations (sürgün) and gives 16326 households for 1477 - two more than the 16324 in the register table in S04.,Recorded from search results; re-check before citing
S19,"Istanbul, Turkey (SAGE Encyclopedia of Urban Studies)",Author not captured,SAGE Publications,N/A,Reference,Tier 2,Used,https://sk.sagepub.com/ency/edvol/embed/urbanstudies/chpt/istanbul-turkey,population_estimates;historical_events;post_conquest_transformation,Gives roughly 60000 inhabitants in 1477 and 875000 in the first census of 1885.,Recorded from search results; re-check before citing
S20,The Demography of Istanbul after the Foundation of the Republic,Istanbul Encyclopedia (istanbultarihi.ist),istanbultarihi.ist,N/A,Scholarly (encyclopedic),Tier 1,Used,https://istanbultarihi.ist/464-the-demography-of-istanbul-after-the-foundation-of-the-republic,population_estimates;historical_events,1927 census: 691000 within municipal boundaries; about 1200000 in the World War I era.,Recorded from search results; re-check before citing
S21,Population du departement d'Istanbul et de la Turquie (table citing TUIK censuses 1927-2000),Geoconfluences (ENS Lyon),ens-lyon.fr,N/A,Compilation of official statistics,Tier 2,Used,https://geoconfluences.ens-lyon.fr/doc/typespace/urb1/popup/TableauxIstanbul.doc/at_download/file,population_estimates,Province-level census counts for 1950-2000. The 1990 value here (7196753) differs from S22 (7309190).,Recorded from search results; re-check before citing
S22,Istanbul Chamber of Commerce fact sheets (TurkStat data),Istanbul Chamber of Commerce (ITO),Istanbul Chamber of Commerce,N/A,Institutional compilation,Tier 2,Used,https://katalog.ticaret.edu.tr/e-kaynak/ito/93190.pdf,population_estimates,1990 (7309190) and 2017 (15029231) figures; the 2021 figure (15840900) is in https://katalog.ticaret.edu.tr/e-kaynak/ito/93189.pdf,Recorded from search results; re-check before citing
S23,The Theodosian Walls,Frommer's,frommers.com,N/A,Popular (travel guide),Tier 3,Used,https://www.frommers.com/destinations/istanbul/attractions/the-theodosian-walls,fortifications;source_claims,Only source giving 6670 m for the land walls (includes sections north of Blachernae) and a moat depth of 10 m. Corroboration only.,Recorded from search results; re-check before citing
S24,Theodosian Walls of Constantinople,Nomadic Niko (travel blog),nomadicniko.com,2012,Popular (blog),Tier 3,Used,https://nomadicniko.com/2012/05/14/theodosian-walls-of-constantinople,fortifications;historical_events;source_claims,Used only for 5.7 km length and the 60-day rebuilding after the 447 earthquake; corroboration only.,Recorded from search results; re-check before citing
