period_id,period_label,year_numeric,city_name,population_estimate,population_low,population_high,unit,confidence,method,source_ids,note,source_id_list,display_value,is_range_only
P01,Late 4th century (after Constantine's refoundation),390,Constantinople,200000.0,,,people,Low,Estimated in secondary literature; described in the source itself as possibly much exaggerated.,S04,Oz (istanbultarihi.ist) reports this figure but explicitly notes there are views that such estimates are greatly exaggerated.,['S04'],200000.0,False
P02,End of 6th century,590,Constantinople,,400000.0,500000.0,people,Low,Estimated in secondary literature.,S04,Reported as an estimate around half a million; same source flags exaggeration risk for this era generally.,['S04'],450000.0,True
P03,9th century peak (disputed),850,Constantinople,,,1000000.0,people,Low,Estimated in secondary literature; explicitly disputed.,S04,"Oz reports a estimate of about one million but states views exist that this is greatly exaggerated. Treat as an upper-bound tradition, not a fact.",['S04'],1000000.0,False
P04,After the Fourth Crusade sack (1204) through the Palaiologan era,1204,Constantinople,,50000.0,75000.0,people,Medium,Estimated in secondary literature from population-history synthesis.,S04,Population fell sharply after the 1204 sack according to Oz; city did not recover to earlier scale before 1453.,['S04'],62500.0,True
P05,At the 1453 conquest,1453,Constantinople,45000.0,40000.0,50000.0,people,Medium,"A. M. Schneider's estimate, as reported by Oz; on the same order as the late-Palaiologan range in P04.",S04,"Schneider's estimate for the population during the siege; Oz notes other period sources differ (see source_claims for the Sphrantzes defender count, which is a garrison figure, not a total population figure).",['S04'],45000.0,False
P06,Household register of Istanbul and Galata,1455,Istanbul,,,,households,High,First Ottoman survey after the conquest; surviving copy is partial.,S04;S07,Records households (not individuals) for 33 quarters in Istanbul and 23 in Galata (864 Galata households); Istanbul total not given as a clean number in the source reviewed - see notes; treat population_estimate as not applicable for this row.,"['S04', 'S07']",,False
P07,Household census (Istanbul side only),1477,Istanbul,,,,households,High,Ottoman tax/administrative register.,S04,"16,324 households recorded on the Istanbul side (see population_1477_households.csv for the full quarter-level breakdown and the resulting population range).",['S04'],,False
P08,Population implied by the 1477 household count,1477,Istanbul,60000.0,50000.0,70000.0,people,Medium,"Population estimated by applying a conventional multiplier (about 4-5 people per household) to the household count; a range is given because the multiplier itself is an assumption, not a recorded figure.",S04;S19,"SAGE Encyclopedia of Urban Studies independently gives roughly 60,000 for 1477, which sits inside this multiplier-based range.","['S04', 'S19']",60000.0,False
P09,16th century (era of Suleyman I),1550,Istanbul,,400000.0,700000.0,people,Low,"Estimated in secondary literature; wide range reflects disagreement among historians cited by Oz (Barkan, Mantran and others give different figures).",S04,No single defensible point estimate could be sourced for this project; presented only as a wide range.,['S04'],550000.0,True
P10,First official Ottoman census (city proper),1885,Istanbul,875000.0,,,people,Medium,First modern census.,S19,"SAGE Encyclopedia of Urban Studies gives roughly 875,000 for the first census of 1885.",['S19'],875000.0,False
P11,First Turkish Republic census (municipal boundaries),1927,Istanbul,691000.0,,,people,High,National census (Turkish Republic).,S20,"Istanbultarihi.ist gives 691,000 within the municipal boundaries in the 1927 census, down from roughly 1,200,000 in the World War I era it also cites.",['S20'],691000.0,False
P12,National census (province),1950,Istanbul,1166477.0,,,people,Medium,National census compilation (province level).,S21,From a table of TUIK census results compiled by Geoconfluences (ENS Lyon).,['S21'],1166477.0,False
P13,National census (province),1970,Istanbul,3019032.0,,,people,Medium,National census compilation (province level).,S21,,['S21'],3019032.0,False
P14,National census (province),1990,Istanbul,7309190.0,7196753.0,7309190.0,people,Medium,"National census (province level); two compilations disagree by about 112,000.",S21;S22,"Geoconfluences gives 7,196,753; the Istanbul Chamber of Commerce fact sheet gives 7,309,190 for the same year. Both are kept as a range.","['S21', 'S22']",7309190.0,False
P15,National census (province),2000,Istanbul,10018735.0,,,people,Medium,National census (province level).,S21,,['S21'],10018735.0,False
P16,Address-Based Population Registration System (province),2017,Istanbul,15029231.0,,,people,High,"Administrative register, not a door-to-door census.",S22,,['S22'],15029231.0,False
P17,Address-Based Population Registration System (province),2021,Istanbul,15840900.0,,,people,High,Administrative register.,S22,,['S22'],15840900.0,False
P18,Address-Based Population Registration System (province),2023,Istanbul,15700000.0,,,people,High,Administrative register; TurkStat's end-2023 provincial figure is reported in the approximately 15.6-15.7 million range across summaries; treated as approximate pending the exact published integer.,S44,"TurkStat 2023 ABPRS results, as summarized in press coverage; Istanbul was reported at roughly 15.7 million, the most populous province in Turkiye.",['S44'],15700000.0,False
P19,Address-Based Population Registration System (province),2025,Istanbul,15754053.0,,,people,High,"Administrative register (TUIK ADNKS 2025 results, released Feb 2026).",S45,"Istanbul remained Turkiye's most populous province at 15,754,053 as of 31 December 2025, per TUIK's ADNKS release covered in this project's search results.",['S45'],15754053.0,False
