event_id,date,date_end,date_precision,date_uncertainty_days,phase,category,event,actor,location,location_id,description,strategic_effect,confidence,source_ids,conflict_note
C01,1444,,year,0,1. Prelude (1444-1451),Military,Crusader army crushed at Varna,Ottoman; Crusaders,Varna (Black Sea coast),,"An Ottoman army defeats the last major western crusade in the region.","Removed the last sizeable western field army and left Byzantium without realistic relief prospects.",Medium,S12,"Only the year is given in the retrieved source."
C02,1451,,year,0,1. Prelude (1444-1451),Political,Mehmed II begins his second reign,Ottoman,Edirne,,"Mehmed II (reigned 1444-46 and 1451-81) returns to the throne in 1451.","Brought to power a sultan who made the capture of Constantinople his defining project.",High,S05;S12,
C03,1451-09,,season,0,2. Ottoman preparations (1451-Mar 1453),Political,Mehmed II resolves to attack Constantinople,Ottoman,,,"The Oxford Dictionary of Byzantium dates his resolve to attack to as early as autumn 1451.","Starts an approximately 18-month preparation window before the siege opens (computed from dates).",High,S02,
C04,1452-04-15,,day,20,2. Ottoman preparations (1451-Mar 1453),Infrastructure,Work begins on Rumeli Hisari at the narrowest point of the Bosphorus,Ottoman,Bosphorus (European shore),L17,"A fortress is raised opposite Anadolu Hisari (built 1393-94) where the strait is about 660 m wide.","Let the Ottomans control shipping between the Black Sea and the city.",Medium,S17;S41;S03,"Sphrantzes says the sultan occupied the straits on 26 March 1452; the Limen Project gives 15 April for the start of construction. Archnet says only 'spring 1452'."
C05,1452-08-31,,day,0,2. Ottoman preparations (1451-Mar 1453),Infrastructure,Rumeli Hisari completed after about four and a half months,Ottoman,Bosphorus (European shore),L17,"Sphrantzes records that once the castle was complete the sultan left on 31 August 1452.","Completed the Bosphorus chokepoint a full winter before the siege.",High,S03;S17,
C06,1452-11,,month,0,2. Ottoman preparations (1451-Mar 1453),Naval,Venetian ship destroyed while running the Bosphorus,Ottoman; Venetian,Bosphorus (Rumeli Hisari),L17,"A Venetian ship that ignored the ban on traffic is sunk by the fortress guns and its captain executed (as reported).","Demonstrated that the new fortress could close the strait to shipping.",Low,S12,"Single popular source."
C07,1452-12-12,,day,0,2. Ottoman preparations (1451-Mar 1453),Diplomatic,Union of the Churches proclaimed in Hagia Sophia,Byzantine,Hagia Sophia,L01,"Act of union with the Latin church celebrated in Hagia Sophia in an effort to secure western aid.","Did not produce timely military help and deepened internal religious division (contested).",Medium,S30;S28,"Date and framing follow standard narratives (Runciman; Nicol); not independently checked in the sources retrieved for this project."
C08,1453-01,,month,0,2. Ottoman preparations (1451-Mar 1453),Political,Mehmed II formally announces the attack,Ottoman,,,"The Oxford Dictionary of Byzantium says he officially proclaimed his intent only in January 1453.","Moves the plan from private decision to declared war aim.",High,S02,
C09,1453-01,,month,0,2. Ottoman preparations (1451-Mar 1453),Military,Giovanni Giustiniani Longo arrives with a small professional contingent,Genoese; Byzantine,Constantinople,,"A Genoese commander reinforces the defence (about 700 men in popular accounts).","Added experienced troops, but small in absolute terms against the length of the walls.",Low,S14,"Numbers come from a popular source only."
C10,1453-04-01,,month,0,3. Blockade and bombardment (2-19 Apr 1453),Diplomatic,Limited western relief: two Venetian ships and 800 men,Venetian; Genoese; Papacy,Adriatic to Constantinople,,"World History Encyclopedia says Venice sent two ships and 800 men in April 1453, Genoa promised another ship and the Pope later promised five armed ships, but the Ottomans had already blockaded the city.","Relief was small and late; the defence stood largely alone.",Low,S12;S40,"Single popular source for the numbers."
C11,1453-04-02,,day,0,3. Blockade and bombardment (2-19 Apr 1453),Naval,Boom stretched across the Golden Horn,Byzantine,Golden Horn mouth,L19,"The defenders close the harbour mouth with a chain.","Protected the weaker Golden Horn sea walls from direct naval assault.",Medium,S13;S14;S15,
C12,1453-04-05,,day,0,3. Blockade and bombardment (2-19 Apr 1453),Military,Mehmed II arrives with the main army,Ottoman,Outside the land walls,L16,"The sultan and the remaining detachments take position before the walls.","Completes the encirclement of the land front.",Medium,S15;S12,"World History Encyclopedia says the army assembled on 2 April; Sphrantzes says the sultan returned and laid siege on 4 April."
C13,1453-04-06,,day,0,3. Blockade and bombardment (2-19 Apr 1453),Military,Siege formally opens and bombardment begins,Ottoman,Land walls (Lycus valley),L12,"Conventional start date of the siege in the Oxford Dictionary of Byzantium.","Starts the roughly 53-day siege clock (elapsed days to 29 May).",High,S02;S01,"Sphrantzes gives 4 April."
C14,1453-04-11,,day,2,3. Blockade and bombardment (2-19 Apr 1453),Naval,Ottoman fleet's first attempt on the boom fails,Ottoman,Golden Horn mouth,L19,"The Ottoman fleet attacks the chain and fails to break it.","Showed the boom held against direct assault.",Low,S15,"Popular sources vary between 9 and 12 April."
C15,1453-04-18,,day,0,3. Blockade and bombardment (2-19 Apr 1453),Military,First major infantry assault on the walls repelled,Ottoman; Byzantine,Lycus valley,L12,"An assault on the damaged Lycus-valley section is driven back.","The defenders' inner lines remained intact despite cannon damage.",Low,S14,"Single popular source."
C16,1453-04-19,,approx,5,3. Blockade and bombardment (2-19 Apr 1453),Military,Outer wall in the Lycus valley destroyed; defenders build a stockade,Ottoman; Byzantine,Lycus valley,L12,"The Oxford Dictionary of Byzantium says that within a fortnight of 6 April large cannons cast by Urbinus destroyed the outer wall in the Lycus valley and the defenders built a stockade in front of the inner wall.","Artillery reduced a two-line defence to one line at the most critical sector.",High,S02,"Date is approximate: 'within a fortnight'."
C17,1453-04-20,,day,0,4. Golden Horn struggle (20-28 Apr 1453),Naval,Four Christian ships break through the blockade into the Golden Horn,Genoese; Byzantine,Golden Horn,L19,"Three Genoese vessels and one Byzantine ship fight through to the harbour.","Lifted defender morale and showed the limits of the Ottoman naval blockade.",Medium,S12;S14;S15,
C18,1453-04-22,,day,0,4. Golden Horn struggle (20-28 Apr 1453),Naval,Ottoman ships hauled overland into the Golden Horn,Ottoman,Bosphorus to Golden Horn,L21,"The Oxford Dictionary of Byzantium records the penetration of the Golden Horn on 22 April; about 70 ships are reported.","Forced the defenders to guard the Golden Horn sea walls as a second front with the same small force.",High,S02;S12;S15,
C19,1453-04-28,,day,0,4. Golden Horn struggle (20-28 Apr 1453),Naval,Allied night attack on the Ottoman ships in the Golden Horn fails,Byzantine; Italian,Golden Horn,L19,"An attempt to destroy the transferred ships is repulsed.","Left the Ottoman fleet in the harbour.",Low,S15,"Single popular source."
C20,1453-05-23,,day,3,6. Final week (21-28 May 1453),Diplomatic,Venetian ships return with news that no relief is coming,Venetian,,,"Popular summaries report a small Venetian squadron returning to tell Constantine no relief force is on its way.","Removed the last realistic hope of outside help.",Low,S26;S40,"Date is approximate in popular sources."
C21,1453-05-25,,day,0,6. Final week (21-28 May 1453),Political,Grand vizier Halil Pasha counsels ending the siege,Ottoman,Ottoman camp,,"The Oxford Dictionary of Byzantium records that on 25 May the vizier advised retreat.","Shows the outcome was still contested inside the Ottoman camp four days before the fall.",High,S02,
C22,1453-05-29,,day,0,7. Assault and fall (29 May 1453),Military,Final assault begins at about 01:30,Ottoman,Land walls,L12,"Tuesday 29 May; the Oxford Dictionary of Byzantium describes two futile charges over about four hours.","Opened a single, concentrated push on the land front.",High,S02,
C23,1453-05-29,,day,0,7. Assault and fall (29 May 1453),Military,Janissaries breach the stockade near the Gate of St. Romanus,Ottoman,Gate of St. Romanus,L13,"Towards dawn Janissaries break through the stockade and climb the inner wall.","First decisive breach on the land front.",High,S02,
C24,1453-05-29,,day,0,7. Assault and fall (29 May 1453),Military,Kerkoporta postern reported unattended at Blachernae,Ottoman,Kerkoporta,L15,"About an hour later the defence cracks at two points; a small band slips through the Kerkoporta.","Created a second breakthrough point in the northern sector.",Medium,S02,"Popular retellings of a gate left open are debated."
C25,1453-05-29,,day,0,7. Assault and fall (29 May 1453),Military,Giustiniani wounded and defensive cohesion weakens,Genoese,,,"Popular sources describe the wounding of the Genoese commander during the assault.","May have disrupted command at a critical moment.",Low,S27,"Timing and circumstances vary between accounts."
C26,1453-05-29,,day,0,7. Assault and fall (29 May 1453),Political,Constantine XI killed in the fighting,Byzantine,Land walls (exact place unknown),,"The Oxford Dictionary of Byzantium says he fell in battle shortly after the defence cracked; the details of his death and burial are unknown.","End of the Byzantine imperial line.",Medium,S02;S27,"The fact of his death is well supported; circumstances are not."
C27,1453-05-29,,day,0,7. Assault and fall (29 May 1453),Post-conquest,Mehmed II enters the city and processes to Hagia Sophia,Ottoman,Hagia Sophia,L01,"By noon most of the city was taken; in the afternoon the sultan led a procession to Hagia Sophia; looting continued into the evening.","Marks the transfer of control of the city.",High,S02,"Some accounts name Edirnekapi as the gate of entry."
C28,1453,,year,0,8. Rebuilding the capital (1453-1481),Post-conquest,Hagia Sophia converted into an imperial mosque (name retained),Ottoman,Hagia Sophia,L01,"Necipoglu: converted in 1453 into the premier imperial mosque of the city, keeping the name Ayasofya.","Symbolic and practical assertion of Ottoman religious authority in the old centre.",High,S05,
C29,1453-06-18,,day,0,8. Rebuilding the capital (1453-1481),Post-conquest,Mehmed II leaves the city; first repopulation attempt falters by autumn,Ottoman,,,"Oz reports that settlers brought from Anatolia had gone back home by the time the sultan returned in the autumn.","Repopulation needed sustained coercion and incentives, not a single transfer.",Medium,S04,
C30,1454-01-06,,day,0,8. Rebuilding the capital (1453-1481),Post-conquest,George Scholarios (Gennadios II) appointed Orthodox patriarch,Ottoman,,,"Oz dates the appointment to 6 January 1454.","The Orthodox patriarchate continued under Ottoman authority.",High,S04,
C31,1455-12,,month,0,8. Rebuilding the capital (1453-1481),Post-conquest,First Ottoman survey of Istanbul and Galata completed,Ottoman,,,"The 1455 survey records households, not individuals; the surviving copy is partial (33 Istanbul quarters, 23 Galata quarters, 864 Galata households).","Created the first administrative baseline for the new capital.",High,S04;S07,
C32,1456,,year,0,8. Rebuilding the capital (1453-1481),Post-conquest,Settlers from Serbian Hungarian and Bulgarian lands moved to the city surroundings,Ottoman,,,"As reported by Kritovoulos and cited by Oz.","Part of a wider resettlement (surgun) policy.",Medium,S04,
C33,1457,,year,0,8. Rebuilding the capital (1453-1481),Post-conquest,Hagia Sophia endowment deed drawn up,Ottoman,Hagia Sophia,L01,"Oz notes the waqf deed of Hagia Sophia was arranged in 1457.","Endowments financed the conversion of old religious buildings.",Medium,S04,
C34,1458,,year,0,8. Rebuilding the capital (1453-1481),Infrastructure,Yedikule Fortress built behind the Golden Gate,Ottoman,Golden Gate,L09,"Ottoman citadel added at the Marmara end of the land walls.","Kept the old fortifications useful in Ottoman hands.",Low,S10,"Single secondary source."
C35,1459,,year,0,8. Rebuilding the capital (1453-1481),Political,Capital formally moved from Edirne to Istanbul,Ottoman,,,"Necipoglu dates Mehmed II's strategic move of the capital to 1459, citing Kritoboulos.","Made the city the permanent centre of the Ottoman state.",High,S05,"Popular accounts often say 1453; Necipoglu says 1459."
C36,1459,1478,year,0,8. Rebuilding the capital (1453-1481),Infrastructure,New Palace (Topkapi) begun; completion inscription dated 1478,Ottoman,Topkapi,L02,"Construction began in 1459 on the old acropolis; an inscription on the Imperial Gate dates completion to 1478.","New administrative core for the state.",High,S05,
C37,1463,1470,year,0,8. Rebuilding the capital (1453-1481),Infrastructure,Fatih Mosque complex built on the site of the Church of the Holy Apostles,Ottoman,Fatih,L03,"Foundation inscription dated 1463-70; eight madrasas; construction was initiated in 1459 according to Necipoglu.","Created a new religious and educational centre and anchor for urban growth.",High,S05,"Start dated 1459 (initiated) versus 1463 (inscription)."
C38,1460,,year,0,8. Rebuilding the capital (1453-1481),Post-conquest,Former residents permitted to return; Morea population resettled (1459-60),Ottoman,,,"Reported by Oz.","Combined incentives with forced transfer.",Medium,S04,
C39,1467,,year,0,8. Rebuilding the capital (1453-1481),Post-conquest,Major plague strikes; over 600 dead reported,Ottoman,,,"Oz notes the city nevertheless saw large population growth within the following decade.","Recovery was punctuated by shocks.",Medium,S04,
C40,1472,,year,0,8. Rebuilding the capital (1453-1481),Infrastructure,Tiled Kiosk (Cinili Kosk) completed,Ottoman,,,"Completed in 1472 (877 AH) according to Necipoglu.","Part of the palace-building programme.",High,S05,
C41,1477,,year,0,8. Rebuilding the capital (1453-1481),Post-conquest,Household census of Istanbul and Galata,Ottoman,,,"The register records 16,324 households (see population_1477_households).","Provides the first solid quantitative anchor after the conquest.",High,S04,"S18 gives 16,326 households, two more than the register table."
C42,1478,,year,0,8. Rebuilding the capital (1453-1481),Post-conquest,Fatih complex endowed with commercial establishments; gold coinage from 1477-78,Ottoman,,,"Necipoglu notes the endowments were furnished with shops and other commercial establishments and that a gold coin was minted from 1477-78.","Tied the new capital's finances to endowed commerce and coinage.",High,S05,
C43,1479,,year,0,8. Rebuilding the capital (1453-1481),Diplomatic,Ottoman-Venetian peace treaty; Gentile Bellini resident in Istanbul 1479-81,Ottoman; Venetian,,,"Necipoglu links the treaty to Venetian privileges and to Bellini's stay.","Restored commercial diplomacy with a former opponent.",High,S05,
C44,1481-05-03,,day,0,8. Rebuilding the capital (1453-1481),Political,Death of Mehmed II,Ottoman,,,"Necipoglu gives 3 May 1481.","Ends the founding reign of the Ottoman capital.",High,S05,
