event_id,year_start,year_end,century_label,event_name,category,description,confidence,source_ids,source_id_list
H01,330,330,4th century,Constantine I dedicates Constantinople as capital,Political,The Roman Emperor Constantine the Great dedicates the city on the site of ancient Byzantium as the new imperial capital.,High,S37,['S37']
H02,1204,1204,13th century,Fourth Crusade sacks Constantinople,Military,Crusader knights capture and sack the city; the Byzantine population and economy do not recover to prior scale before 1453 (see population_context.csv).,High,S04;S37,"['S04', 'S37']"
H03,1261,1261,13th century,Byzantine (Palaiologan) recovery of the city,Political,Control passes back to the Greeks under the Palaiologan dynasty after the Latin interregnum.,High,S37,['S37']
H04,1393,1394,14th century,Anadolu Hisari built,Infrastructure,"Bayezid I builds a fortress on the Asian shore of the Bosphorus, the future counterpart to Rumelihisari.",High,S17;S41,"['S17', 'S41']"
H05,1451,1481,15th century,Reign of Mehmed II (second reign),Political,Sultan whose conquest and rebuilding programme frame this entire project (see campaign_timeline.csv and post_conquest_transformation.csv for detail).,High,S05;S02,"['S05', 'S02']"
H06,1453,1453,15th century,Fall of Constantinople / conquest of the city,Political,29 May 1453; end of the Byzantine Empire and start of the city's transformation into the Ottoman capital. See campaign_timeline.csv for a day-level account.,High,S02,['S02']
H07,1459,1481,15th century,Founding infrastructure of the Ottoman capital,Infrastructure,"Topkapi Palace, the Fatih Mosque complex, and the formal relocation of the capital from Edirne, all under Mehmed II. See post_conquest_transformation.csv.",High,S05,['S05']
H08,1477,1477,15th century,First solid post-conquest population anchor,Demographic,"Household census records 16,324 households on the Istanbul side. See population_1477_households.csv.",High,S04,['S04']
H09,1500,1599,16th century,Population growth and disputed scale under later 16th-century sultans,Demographic,"Historians cited by Oz give widely varying estimates (roughly 400,000-700,000) for the city's 16th-century population; no single figure is treated as settled in the sources reviewed.",Low,S04,['S04']
H10,1509,1509,16th century,Great Istanbul earthquake damages Rumelihisari,Infrastructure,"The 1509 earthquake ('Lesser Judgment Day' in later tradition) damages Rumelihisari, which is subsequently repaired.",Medium,S41,['S41']
H11,1550,1557,16th century,Suleymaniye Mosque complex built,Infrastructure,"Major architectural addition to the Ottoman capital's skyline under Suleyman I, illustrating continued imperial investment in the city (general architectural-history knowledge; not independently sourced in this project's search results).",Medium,,['N/A']
H12,1729,1729,18th century,Ottoman printing press established in Istanbul,Cultural,Ibrahim Muteferrika's press marks an early institutional step in the city's print culture (general historical knowledge; not independently sourced in this project's search results).,Low,,['N/A']
H13,1839,1876,19th century,Tanzimat reform era,Political,Administrative and legal modernization reforms centered on Istanbul as the imperial capital (general historical knowledge; not independently sourced in this project's search results).,Low,,['N/A']
H14,1885,1885,19th century,First official Ottoman census of the city,Demographic,"First modern census records roughly 875,000 residents. See population_context.csv (P10).",Medium,S19,['S19']
H15,1923,1923,20th century,Ankara becomes capital of the Turkish Republic,Political,"Istanbul loses its political-capital status after roughly 1,600 years (330-1453 as Byzantine/Roman capital, 1453-1922 as Ottoman capital) though it remains the country's largest city and commercial-cultural center (general historical knowledge; not independently sourced in this project's search results).",Medium,,['N/A']
H16,1927,1927,20th century,First Turkish Republic census of the city,Demographic,"691,000 residents within municipal boundaries, down from roughly 1,200,000 in the World War I era. See population_context.csv (P11).",High,S20,['S20']
H17,1950,2000,20th-21st century,Rapid 20th-century urban and population growth,Demographic,Province population grows from roughly 1.17 million (1950) to just over 10 million (2000) across successive national censuses. See population_context.csv (P12-P15).,Medium,S21,['S21']
H18,1985,1985,20th century,Historic Areas of Istanbul inscribed as a UNESCO World Heritage Site,Cultural,Inscription (ref. 356) covers several zones including the Theodosian land walls.,High,S11,['S11']
H19,2017,2025,21st century,Continued growth to roughly 15.0-15.8 million residents,Demographic,"Address-Based Population Registration System figures place the province at approximately 15.0 million (2017), 15.8 million (2021), approximately 15.7 million (2023) and 15,754,053 (end of 2025). See population_context.csv (P16-P19).",High,S22;S44;S45,"['S22', 'S44', 'S45']"
